sector,year,month,quarter,year_month,avg_close,avg_daily_return,avg_volatility,avg_rsi,max_drawdown,total_volume,ticker_count,avg_ma50,avg_ma200
Financials,2026,2,1,2026-02,424.7864,-0.2698,1.7662,49.4223,-12.9607,1096872900,3,424.4332,366.8746
Financials,2026,3,1,2026-03,386.802,-0.0595,1.8889,35.0621,-19.4222,1270538500,3,419.1764,378.5336
Financials,2026,4,2,2026-04,422.5463,0.4036,1.6516,69.9792,-13.4523,902916800,3,406.2656,388.0406
Financials,2026,5,2,2026-05,434.1175,0.0591,1.5094,46.4779,-12.574,707977600,3,409.5419,396.0848
Healthcare,2020,1,1,2020-01,75.4843,-0.0435,0.7981,52.2181,-8.0111,682298864,2,74.8757,74.8757
Healthcare,2020,2,1,2020-02,75.169,-0.526,1.0493,39.3084,-17.0685,734174579,2,75.755,75.755
Healthcare,2020,3,1,2020-03,66.6346,0.0143,3.1126,39.6409,-29.3023,1375544339,2,73.7532,73.8814
Healthcare,2020,4,2,2020-04,74.1677,0.7284,4.2608,67.4902,-21.2126,767764239,2,70.6757,72.2321
Healthcare,2020,5,2,2020-05,75.8425,0.0166,1.9758,49.6232,-7.37,610833791,2,71.5202,73.0808
Healthcare,2020,6,2,2020-06,73.2038,-0.4603,1.6237,35.7516,-19.7006,985069642,2,74.8143,73.4175
Healthcare,2020,7,3,2020-07,74.9979,0.4848,1.6089,68.6116,-16.1418,961953043,2,74.3209,73.3805
Healthcare,2020,8,3,2020-08,77.6119,0.097,1.1748,57.1555,-4.8364,580035141,2,74.7019,73.8036
Healthcare,2020,9,3,2020-09,76.2998,-0.1332,1.0435,40.9283,-9.7799,649047524,2,76.5543,74.229
Healthcare,2020,10,4,2020-10,75.4889,-0.2531,1.192,50.093,-10.8691,692516407,2,76.7843,74.4239
Healthcare,2020,11,4,2020-11,75.905,0.5179,1.6858,56.0018,-9.9655,1245210697,2,75.7208,74.3592
Healthcare,2020,12,4,2020-12,80.3137,0.1133,1.6963,57.6055,-13.6748,1320271900,2,76.6466,74.8052
Healthcare,2021,1,1,2021-01,83.8789,0.0645,1.3065,57.1821,-14.8496,873583200,2,79.3237,76.3245
Healthcare,2021,2,1,2021-02,83.9274,-0.2389,1.0954,39.0416,-20.4551,812925100,2,82.2847,77.3476
Healthcare,2021,3,1,2021-03,83.0529,0.2552,1.0437,56.213,-20.4076,850661700,2,83.3954,78.0778
Healthcare,2021,4,2,2021-04,85.252,0.1349,0.9269,62.0436,-14.7071,721327500,2,83.7821,79.2829
Healthcare,2021,5,2,2021-05,88.913,0.147,0.9812,63.3145,-7.2946,749163600,2,85.2882,80.5572
Healthcare,2021,6,2,2021-06,87.1238,-0.0315,0.8977,42.2457,-7.6543,631348700,2,87.24,81.7014
